id,original_language,genres,country,vote_average
stagecoach+1966,en,37,US,4.5
boys+life+4+four+play+2003,en,,,5.0
lain+ulkopuolella+,en,,,0.0
the+land+before+time+iv+journey+through+the+mists+1996,en,10751,US,5.8
last+run+2001,en,,,6.0
the+secret+of+santa+vittoria+1969,en,35,US,6.1
firepower+1979,en,28,GB,5.6
the+look+of+silence+2014,en,36,DK,8.0
august+2011,en,18,,6.0
where+the+red+fern+grows+1974,en,18,US,6.7
august+rush+2007,en,10751,US,7.2
like+crazy+2011,en,18,US,6.5
nurse+3-d+2013,en,27,US,4.9
stage+door+1937,en,35,US,6.2
the+man+who+never+was+1956,en,53,GB,6.8
pygmalion+1938,en,18,GB,6.9
a+garfield+christmas+special+1987,en,16,US,6.7
nicholas+and+alexandra+1971,en,10749,GB,7.0
if+footmen+tire+you_+what+will+horses+do+1971,en,,,6.0
jackpot+2001,en,,,6.0
who+dares+wins+1982,en,28,CH,6.3
the+wrong+box+1966,en,80,GB,5.6
storefront+hitchcock+1998,en,99,,7.0
downloaded+2013,en,99,US,6.6
concert+for+george+2002,en,10402,,8.0
rec+2009,es,53,ES,6.5
trust+me+2010,sv,18,,5.8
flesh++blood+1985,en,12,NL,6.3
lies+1999,ko,18,KR,5.4
tokyo+2008,ko,10749,FR,6.9
manon+1949,fr,80,FR,8.0
lornas+silence+2008,fr,80,BE,6.7
bulldog+drummond+escapes+1937,en,28,US,6.0
vendetta+2013,en,28,GB,6.1
dangerous+liaisons+1988,en,18,GB,7.1
superdad+1973,en,35,US,4.8
escape+to+victory+1981,en,28,US,6.7
shaft+in+africa+1973,en,12,US,5.4
the+street+with+no+name+1948,en,18,US,6.2
+nous+la+libert+1931,fr,35,FR,7.4
apartment+zero+1988,en,53,AR,6.9
the+rage+carrie+2+1999,en,27,US,5.1
i+heart+monster+movies+2012,en,27,US,0.0
a+walk+among+the+tombstones+2014,en,80,US,6.2
popcorn+1991,en,27,US,5.7
jaws+the+revenge+1987,en,12,US,3.5
beer+for+my+horses+2008,en,28,US,5.3
thats+entertainment+1974,en,99,US,7.9
matilda+1996,en,35,US,6.9
gray+lady+down+1978,en,53,US,6.7
creature+from+black+lake+1976,en,9648,US,6.0
big+nothing+2006,en,28,GB,6.5
the+ace+of+hearts+1921,en,80,US,6.5
mississippi+grind+2015,en,18,US,5.9
the+phantom+of+the+opera+1990,en,18,FR,5.0
six+days+in+june+2007,en,99,,0.0
less+than+zero+1987,en,18,US,6.1
the+baytown+outlaws+2012,en,28,US,5.9
mccabe++mrs.+miller+1971,en,37,US,7.3
breaking+out+1999,sv,35,SE,5.0
bullets+over+broadway+1994,en,28,US,7.0
white+frog+2012,en,18,,5.5
bill+burr+why+do+i+do+this+2008,en,35,US,7.9
mother+1996,en,35,US,6.8
hider+in+the+house+1989,en,27,US,5.5
come+back+to+the+5++dime_+jimmy+dean_+jimmy+dean+1982,en,35,US,4.9
munchies+1987,en,35,US,4.7
alice+doesnt+live+here+anymore+1974,en,18,US,6.7
house+of+dark+shadows+1970,en,18,US,6.7
konga+1961,en,27,GB,4.3
unfinished+sky+2007,,10749,AU,6.4
big+girls+dont+cry...+they+get+even+1992,en,35,,4.6
things+change+1988,en,18,US,6.4
barrier+1966,en,,PL,6.7
the+hot+spot+1990,en,18,US,6.4
bad+influence+1990,en,53,US,5.8
subwaystories+tales+from+the+underground+1997,en,10770,US,8.5
car+wash+1976,en,10749,US,6.3
all+the+young+men+1960,en,28,US,6.0
what+price+hollywood+1932,en,18,US,5.7
red+werewolf+hunter+2010,en,14,US,4.3
brother+1997,ru,28,RU,6.9
typhoon+club+1985,ja,18,JP,6.0
american+roulette+1988,en,28,,4.0
vamp+1986,en,35,US,5.9
anne+of+green+gables+1934,en,35,US,5.2
hair+show+2004,en,,,0.5
the+woman+who+dreamed+of+a+man+2010,da,10749,DK,4.8
a+hot+dog+program+1999,en,99,,8.0
pendulum+1969,en,80,US,0.0
the+green+years+1963,pt,18,PT,6.3
zombeavers+2014,en,27,US,4.8
fist+of+fury+1972,zh,18,HK,7.4
happy+go+lovely+1951,en,10402,GB,5.0
white+fang+1973,it,37,FR,6.2
comic+book+the+movie+2004,en,28,,6.0
operation+pacific+1951,en,18,US,4.9
ishq+1997,en,28,IN,5.3
chill+factor+1999,en,28,US,5.3
virtual+sexuality+1999,en,35,GB,5.6
nothing+personal+2009,en,18,NL,6.6
sherlock+holmes+and+the+masks+of+death+1984,en,9648,GB,6.5
the+grandmaster+2013,zh,28,CN,6.3
sex+galaxy+2008,en,35,US,2.8
pat+and+mike+1952,en,35,US,5.9
a+single+girl+1995,fr,18,FR,6.8
the+banquet+2006,zh,14,HK,6.2
the+avengers+1998,en,53,US,4.4
westward+ho+1935,en,18,US,6.0
high+anxiety+1977,en,35,US,6.5
s1m0ne+2002,en,35,US,5.5
the+woman+who+dared+1944,fr,18,FR,6.5
the+super+cops+1974,en,18,US,6.2
gunday+2014,en,28,IN,5.7
m*a*s*h+1970,en,35,US,6.9
two+loves+1961,en,18,US,4.5
layer+cake+2004,en,18,GB,7.0
embrace+of+the+vampire+1995,en,27,US,5.0
goemon+2009,ja,28,JP,6.8
a+single+man+2009,en,18,US,7.3
the+deadly+companions+1961,en,28,US,4.8
the+brain+that+wouldnt+die+1962,en,27,US,4.4
the+call+of+the+wild+1935,en,12,US,6.0
homecoming+2009,en,27,US,5.6
light+is+calling+2004,en,,,7.8
a+few+best+men+2011,en,35,AU,5.9
harem+suare+1999,en,18,FR,6.3
forever+hardcore+the+documentary+2005,en,99,US,5.0
light+of+day+1987,en,10402,US,5.4
g.b.f.+2013,en,35,US,6.0
confess+2005,en,28,,5.0
czowiek+z+m-3+1969,pl,35,,7.0
emita+1971,fr,18,SN,8.0
the+long+walk+home+1990,en,18,US,6.4
daughter+of+the+nile+1987,zh,18,TW,7.0
the+student+2011,en,10769,AR,6.8
the+day+of+the+jackal+1973,en,28,FR,7.3
copying+beethoven+2006,en,18,DE,6.3
rent+filmed+live+on+broadway+2008,en,18,US,7.0
undefeated+2011,en,99,US,7.9
plastic+paradise+the+great+pacific+garbage+patch+2013,en,99,,6.2
the+source+1999,en,99,,4.9
pressed+2011,en,80,CA,4.9
philanthropy+2002,ro,35,RO,7.2
patton+oswalt+werewolves+and+lollipops+2007,en,35,US,6.9
emmanuelle+1974,fr,18,FR,4.9
among+wolves+2010,es,18,ES,5.6
to+have+and+have+not+1944,en,10752,US,7.6
three+smart+girls+1936,en,35,US,7.0
the+rescuers+1977,en,14,US,6.7
without+limits+1998,en,18,US,6.4
the+substitute+1993,en,18,,0.0
the+front+page+1931,en,35,US,7.0
hell+of+the+living+dead+1980,en,27,IT,5.4
paranormal+activity+2007,en,27,US,5.9
possible+worlds+2000,en,9648,CA,5.8
limitless+2011,en,53,US,7.1
on+the+edge+2001,en,18,IE,7.4
uptown+saturday+night+1974,en,35,US,6.4
the+passion+of+darkly+noon+1995,en,9648,DE,6.1
lipton+cockton+in+the+shadows+of+sodoma+1995,fi,18,,6.0
scum+1979,en,80,GB,7.3
twelve+oclock+high+1949,en,10752,US,7.0
double+impact+1991,en,53,US,5.3
the+hunger+1983,en,27,GB,6.4
is+the+man+who+is+tall+happy+2013,en,99,,7.1
moon+man+2012,de,10751,IE,6.8
real+life+1979,en,35,US,6.1
the+old+man+and+the+sea+1958,en,12,US,6.0
big+bully+1996,en,35,US,3.9
god+on+trial+2008,en,36,GB,8.2
iek+2005,sl,99,CA,6.3
lovesick+1983,en,10749,US,6.0
my+name+is+julia+ross+1945,en,9648,US,5.1
my+best+girl+1927,en,18,US,8.0
mindscape+2013,en,53,FR,6.5
savior+1998,en,36,US,7.1
brothers+in+trouble+1995,en,35,GB,0.0
chuck+norris+vs+communism+2015,ro,99,DE,7.1
mindwarp+1992,en,27,US,5.5
howard+zinn+you+cant+be+neutral+on+a+moving+train+2004,en,99,US,6.8
my+wifes+relations+1922,fr,35,US,6.0
leningrad+cowboys+go+america+1989,en,35,FI,6.7
a+thousand+cuts+2012,en,,,4.3
mission+impossible+ii+2000,en,12,DE,5.9
putney+swope+1969,en,35,US,6.1
the+fall+2008,en,12,US,7.7
i+love+you+again+1940,en,35,US,6.8
blue+blood+2006,en,99,GB,0.0
we+still+kill+the+old+way+2014,en,80,GB,5.3
i+got+the+hook+up+1998,en,28,US,5.4
wedding+trough+1975,en,27,BE,4.3
i+shot+andy+warhol+1996,en,18,GB,6.1
love+stories+2000,hi,18,IN,6.9
barry+lyndon+1975,en,18,GB,7.7
the+boogey+man+1980,en,27,US,5.0
in+tranzit+2007,en,18,RU,6.2
louis+c.k.+oh+my+god+2013,en,35,US,7.7
sex+drive+2008,en,35,US,6.0
red+army+2014,en,99,RU,7.3
the+missouri+breaks+1976,en,18,US,6.2
beavis+and+butt-head+do+america+1996,en,16,US,6.5
maniacts+2001,en,,,6.5
the+7th+floor+2013,es,53,ES,5.8
big+jake+1971,en,37,US,6.8
slc+punk+1998,en,80,US,7.3
miraculum+2014,fr,18,CA,5.3
joan+of+arc+1948,en,10752,US,6.4
blank+city+2011,en,99,US,6.5
cars+2+2011,en,16,US,5.8
a+late+quartet+2012,en,10402,US,6.6
alibi+1929,en,28,US,3.3
behind+the+screen+1916,en,35,US,6.8
straw+dogs+1971,en,80,GB,7.2
mc5+kick+out+the+jams+1999,en,,,0.0
pennies+from+heaven+1936,en,35,US,0.0
a+free+soul+1931,en,80,US,4.7
the+spirit+of+the+beehive+1973,es,18,ES,7.5
a+friend+of+the+deceased+1997,en,18,UA,5.0
born+reckless+1937,en,12,US,5.3
hello+mary+lou+prom+night+ii+1987,en,27,CA,6.0
